label	C1	C2	H2	intensity
X523	18.120	21.090	0.510	1.4172e-03
X524	21.090	18.120	1.300	1.4172e-03
X525	12.760	21.090	0.510	2.1952e-03
X526	21.090	12.760	0.850	2.1952e-03
X527	27.120	22.560	1.370	1.3193e-03
X528	22.560	27.120	0.730	1.3193e-03
X529	23.960	22.560	1.370	1.4180e-03
X530	22.560	23.960	0.880	1.4180e-03
X531	26.180	22.560	1.370	1.6370e-03
X532	22.560	26.180	0.670	1.6370e-03
X533	21.980	22.560	1.370	1.3468e-02
X534	22.560	21.980	0.950	1.3468e-02
X535	23.040	22.560	1.370	3.0224e-02
X536	22.560	23.040	1.030	3.0224e-02
X537	19.730	22.560	1.370	7.3100e-04
X538	22.560	19.730	1.380	7.3100e-04
X539	20.680	22.560	1.370	2.6362e-02
X540	22.560	20.680	1.390	2.6362e-02
X541	18.120	22.560	1.370	6.6534e-02
X542	22.560	18.120	1.300	6.6534e-02
X543	23.960	27.120	0.730	7.2944e-01
X544	27.120	23.960	0.880	7.2944e-01
X545	12.160	27.120	0.730	2.1296e-03
X546	27.120	12.160	0.070	2.1296e-03
X547	26.180	27.120	0.730	4.5518e-03
X548	27.120	26.180	0.670	4.5518e-03
X549	24.250	27.120	0.730	2.7078e-03
X550	27.120	24.250	0.660	2.7078e-03
X551	14.100	23.960	0.880	1.0249e-03
X552	23.960	14.100	0.470	1.0249e-03
X553	12.160	23.960	0.880	1.1919e-03
X554	23.960	12.160	0.070	1.1919e-03
X555	26.180	23.960	0.880	1.5599e-03
X556	23.960	26.180	0.670	1.5599e-03
X557	24.250	23.960	0.880	1.5727e-03
X558	23.960	24.250	0.660	1.5727e-03
X559	24.920	23.020	0.700	6.5859e-01
X560	23.020	24.920	0.590	6.5859e-01
X561	27.170	23.020	0.700	2.5314e-03
X562	23.020	27.170	0.960	2.5314e-03
X563	12.830	23.020	0.700	2.1174e-03
X564	23.020	12.830	0.590	2.1174e-03
X565	22.820	23.020	0.700	1.5851e-03
X566	23.020	22.820	0.700	1.5851e-03
X567	27.910	23.020	0.700	7.5394e-04
X568	23.020	27.910	0.960	7.5394e-04
X569	17.200	23.020	0.700	5.3254e-03
X570	23.020	17.200	1.840	5.3254e-03
X571	12.160	23.020	0.700	1.1553e-03
X572	23.020	12.160	0.070	1.1553e-03
X573	19.000	23.020	0.700	5.8694e-02
X574	23.020	19.000	1.120	5.8694e-02
X575	24.250	23.020	0.700	3.4265e-03
X576	23.020	24.250	0.660	3.4265e-03
X577	14.100	24.920	0.590	8.4845e-04
X578	24.920	14.100	0.470	8.4845e-04
X579	27.170	24.920	0.590	1.5393e-03
X580	24.920	27.170	0.960	1.5393e-03
X581	12.830	24.920	0.590	3.5195e-03
X582	24.920	12.830	0.590	3.5195e-03
X583	22.820	24.920	0.590	1.6992e-02
X584	24.920	22.820	0.700	1.6992e-02
X585	27.910	24.920	0.590	4.0380e-03
X586	24.920	27.910	0.960	4.0380e-03
X587	17.200	24.920	0.590	9.7548e-03
X588	24.920	17.200	1.840	9.7548e-03
X589	17.650	24.920	0.590	1.4391e-03
X590	24.920	17.650	0.190	1.4391e-03
X591	12.160	24.920	0.590	9.3487e-03
X592	24.920	12.160	0.070	9.3487e-03
X593	19.000	24.920	0.590	5.1272e-03
X594	24.920	19.000	1.120	5.1272e-03
X595	26.180	24.920	0.590	8.7241e-04
X596	24.920	26.180	0.670	8.7241e-04
X597	24.250	24.920	0.590	8.9749e-03
X598	24.920	24.250	0.660	8.9749e-03
X599	17.650	14.100	0.470	2.6440e-02
X600	14.100	17.650	0.190	2.6440e-02
X601	19.320	14.100	0.470	1.3034e-02
X602	14.100	19.320	1.360	1.3034e-02
X603	14.180	14.100	0.470	3.7929e-02
X604	14.100	14.180	0.330	3.7929e-02
